indicatorId,geoUnit,year,value,qualifier,z_score
MOR.5T8.40510,ALECSO: Least developed countries,2016,5.371910095214844,UIS_EST,-0.10020073263074586
MOR.5T8.40510,ALECSO: Maghreb countries,2015,3.555490016937256,,-0.15852377819261798
MOR.5T8.40510,ALECSO: Maghreb countries,2016,3.530879974365234,,-0.1593139768098721
MOR.5T8.40510,ALECSO: Maghreb countries,2017,3.629199981689453,,-0.1561570406278786
MOR.5T8.40510,ALECSO: Maghreb countries,2018,3.726809978485107,,-0.15302290202277938
MOR.5T8.40510,ALECSO: Maghreb countries,2019,3.814990043640137,,-0.150191547085015
MOR.5T8.40510,ALECSO: Maghreb countries,2020,4.013010025024414,,-0.14383336566291374
MOR.5T8.40510,ALECSO: Maghreb countries,2021,4.17218017578125,,-0.13872260518096408
MOR.5T8.40510,ALECSO: Mashriq countries,2015,3.073529958724976,,-0.17399893108829173
MOR.5T8.40510,ALECSO: Mashriq countries,2016,3.607160091400146,,-0.1568647147726947
MOR.5T8.40510,ALECSO: Mashriq countries,2017,3.615469932556152,,-0.15659789585225356
MOR.5T8.40510,ALECSO: Mashriq countries,2018,3.718290090560913,,-0.1532964652901795
MOR.5T8.40510,ALECSO: Mashriq countries,2019,3.963629961013794,UIS_EST,-0.14541889962478807
MOR.5T8.40510,ALECSO: Mashriq countries,2020,4.264870166778564,,-0.135746441994532
MOR.5T8.40510,ALECSO: Mashriq countries,2021,4.70235013961792,UIS_EST,-0.12169949068990263
MOR.5T8.40510,ALECSO: Member countries,2015,4.078350067138672,,-0.14173537616212706
MOR.5T8.40510,ALECSO: Member countries,2016,4.376599788665771,,-0.1321589393535584
MOR.5T8.40510,ALECSO: Member countries,2017,4.320899963378906,UIS_EST,-0.13394739318471982
MOR.5T8.40510,ALECSO: Member countries,2018,4.372680187225342,UIS_EST,-0.13228479300169207
MOR.5T8.40510,ALECSO: Member countries,2019,4.511849880218506,UIS_EST,-0.12781622295980574
MOR.5T8.40510,ALECSO: Member countries,2020,4.644879817962646,UIS_EST,-0.12354479301200334
MOR.5T8.40510,ALECSO: Member countries,2021,4.831689834594727,UIS_EST,-0.11754654996143192
MOR.5T8.40510,AND,2015,269.6010131835938,UIS_EST,8.38387528177293
MOR.5T8.40510,AND,2016,257.6493225097656,,8.000120990545284
MOR.5T8.40510,AND,2017,246.8263702392578,,7.652609120391682
MOR.5T8.40510,AND,2018,245.0472259521484,,7.595482955272091
MOR.5T8.40510,AND,2019,236.5944976806641,UIS_EST,7.324076102861949
MOR.5T8.40510,AND,2020,247.4971618652344,,7.674147425892827
MOR.5T8.40510,AND,2021,254.2153167724609,UIS_EST,7.889859231455685
MOR.5T8.40510,ARE,2018,4.461130142211914,,-0.12944477222878856
MOR.5T8.40510,ARE,2019,4.741829872131348,UIS_EST,-0.12043184436420544
MOR.5T8.40510,ARE,2020,5.041940212249756,,-0.11079566534943022
MOR.5T8.40510,ARE,2021,5.800680160522461,UIS_EST,-0.08643344589263845
MOR.5T8.40510,ARG,2015,0.2544600069522858,,-0.2645158479653892
MOR.5T8.40510,ARG,2016,0.2480400055646896,,-0.26472198642306966
MOR.5T8.40510,ARG,2017,0.2680599987506866,,-0.26407916872429016
MOR.5T8.40510,ARG,2018,0.2674799859523773,,-0.26409779223174135
MOR.5T8.40510,ARG,2019,0.2762500047683716,UIS_EST,-0.2638161975647914
MOR.5T8.40510,ARG,2020,0.288349986076355,,-0.26342768184116405
MOR.5T8.40510,ARG,2021,0.2709600031375885,UIS_EST,-0.26398605310086715
MOR.5T8.40510,ARM,2015,7.141799926757813,,-0.04337171685458367
MOR.5T8.40510,ARM,2016,7.191150188446045,,-0.04178713980913373
MOR.5T8.40510,ARM,2017,5.575180053710938,,-0.09367398081132677
MOR.5T8.40510,ARM,2018,6.334360122680664,,-0.06929762961277988
MOR.5T8.40510,ARM,2019,6.945559978485107,UIS_EST,-0.04967274357248993
MOR.5T8.40510,ARM,2020,5.580850124359131,,-0.09349192172009105
MOR.5T8.40510,ARM,2021,5.184179782867432,UIS_EST,-0.10622852526050193
MOR.5T8.40510,AUS,2015,0.6576600074768066,,-0.2515695849933143
MOR.5T8.40510,AUS,2016,0.6939499974250793,,-0.2504043574325179
MOR.5T8.40510,AUS,2017,0.7959700226783752,,-0.24712861816260545
MOR.5T8.40510,AUS,2018,0.8352599740028381,,-0.24586706548069867
MOR.5T8.40510,AUS,2019,0.7847399711608887,UIS_EST,-0.24748920149580533
MOR.5T8.40510,AUS,2020,0.8278899788856506,,-0.24610370708478074
MOR.5T8.40510,AUS,2021,0.7775300145149231,UIS_EST,-0.24772070445868852
MOR.5T8.40510,AUT,2015,4.093550205230713,,-0.14124731816437056
MOR.5T8.40510,AUT,2016,4.221980094909668,,-0.13712359018050316
MOR.5T8.40510,AUT,2017,4.491899967193604,,-0.1284567904696133
MOR.5T8.40510,AUT,2018,5.028820037841797,,-0.11121693823609678
MOR.5T8.40510,AUT,2019,5.254909992218018,UIS_EST,-0.10395746402753721
MOR.5T8.40510,AUT,2020,5.713600158691406,,-0.08922947913134634
MOR.5T8.40510,AUT,2021,5.816120147705078,UIS_EST,-0.08593768663149859
MOR.5T8.40510,AZE,2015,19.57352066040039,,0.3557957573610929
MOR.5T8.40510,AZE,2016,21.25934982299805,,0.40992568701533355
MOR.5T8.40510,AZE,2017,20.748779296875,,0.3935318866969289
MOR.5T8.40510,AZE,2018,22.02145004272461,,0.43439580071280626
MOR.5T8.40510,AZE,2019,20.24172019958496,UIS_EST,0.3772508340993099
MOR.5T8.40510,AZE,2020,18.03820037841797,,0.3064984853098847
MOR.5T8.40510,AZE,2021,18.02404975891113,UIS_EST,0.3060441260809289
MOR.5T8.40510,BDI,2015,5.011940002441406,,-0.1117589356988624
MOR.5T8.40510,BDI,2016,7.629479885101318,,-0.027712904903412626
MOR.5T8.40510,BDI,2017,7.834849834442139,,-0.021118724925066466
MOR.5T8.40510,BDI,2018,8.66469955444336,,0.005526743052270855
MOR.5T8.40510,BEL,2015,2.679369926452637,,-0.18665493164444472
MOR.5T8.40510,BEL,2016,2.787080049514771,,-0.18319649023545934
MOR.5T8.40510,BEL,2017,2.855530023574829,,-0.18099864459195633
MOR.5T8.40510,BEL,2018,3.081650018692017,,-0.17373820581164098
MOR.5T8.40510,BEL,2019,3.195800065994263,UIS_EST,-0.1700729862463454
MOR.5T8.40510,BEL,2020,3.296700000762939,,-0.16683321172332666
MOR.5T8.40510,BEL,2021,3.169189929962158,UIS_EST,-0.17092740543867216
MOR.5T8.40510,BEN,2015,4.846650123596191,,-0.11706619322705879
MOR.5T8.40510,BEN,2016,5.349299907684326,,-0.10092671832825878
MOR.5T8.40510,BEN,2017,5.887720108032227,,-0.08363869874960493
MOR.5T8.40510,BEN,2018,5.777420043945313,,-0.08718030002353411
MOR.5T8.40510,BEN,2019,6.496250152587891,UIS_EST,-0.06409953711027612
MOR.5T8.40510,BEN,2020,7.007810115814209,,-0.04767396716658238
MOR.5T8.40510,BEN,2021,7.778460025787354,UIS_EST,-0.022929333285285014
MOR.5T8.40510,BFA,2015,6.504839897155762,,-0.06382373083077726
MOR.5T8.40510,BFA,2016,6.065410137176514,,-0.07793328743555487
MOR.5T8.40510,BFA,2017,5.845729827880859,,-0.0849869557148914
MOR.5T8.40510,BFA,2018,5.603320121765137,,-0.09277043735743837
MOR.5T8.40510,BFA,2019,5.310150146484375,UIS_EST,-0.10218376967530529
MOR.5T8.40510,BFA,2020,5.030550003051758,,-0.1111613911514947
MOR.5T8.40510,BFA,2021,4.241700172424316,UIS_EST,-0.13649040241016036
MOR.5T8.40510,BGD,2016,2.303070068359375,,-0.19873746367046724
MOR.5T8.40510,BGD,2017,2.096950054168701,,-0.20535572732138208
MOR.5T8.40510,BGD,2018,1.591779947280884,,-0.22157612672835855
MOR.5T8.40510,BGD,2019,1.200569987297058,UIS_EST,-0.23413740404149558
MOR.5T8.40510,BGD,2020,1.417250037193298,,-0.22718007045243366
MOR.5T8.40510,BGR,2015,8.719090461730957,,0.007273169114073798
MOR.5T8.40510,BGR,2016,9.041589736938477,,0.017628229678827396
MOR.5T8.40510,BGR,2017,10.03246021270752,,0.049443878820402326
MOR.5T8.40510,BGR,2018,10.60550975799561,,0.06784380466285375
MOR.5T8.40510,BGR,2019,10.80095958709717,UIS_EST,0.07411946161251685
MOR.5T8.40510,BGR,2020,11.23165988922119,,0.08794872591359802
MOR.5T8.40510,BGR,2021,11.29458999633789,UIS_EST,0.08996933532464416
MOR.5T8.40510,BHR,2015,13.32851028442383,,0.15527604881557702
MOR.5T8.40510,BHR,2016,13.27904987335205,,0.15368793500702252
MOR.5T8.40510,BHR,2017,12.85210990905762,,0.13997941059270322
MOR.5T8.40510,BHR,2018,12.04660034179688,,0.11411547539748097
MOR.5T8.40510,BHR,2019,10.29133987426758,UIS_EST,0.05775619075571558
MOR.5T8.40510,BHR,2020,10.06443977355957,,0.05047070373107576
MOR.5T8.40510,BHR,2021,9.35317039489746,UIS_EST,0.02763270668701576
MOR.5T8.40510,BIH,2015,10.19853019714355,,0.05477618459292295
MOR.5T8.40510,BIH,2016,11.40048027038574,,0.09336934358909149
MOR.5T8.40510,BIH,2017,15.08537006378174,,0.21168668542033994
MOR.5T8.40510,BIH,2018,16.17481994628906,,0.24666759974446595
MOR.5T8.40510,BIH,2019,16.92443084716797,UIS_EST,0.2707366965621435
MOR.5T8.40510,BIH,2020,18.31403923034668,,0.3153553362779867
MOR.5T8.40510,BIH,2021,18.18622016906738,UIS_EST,0.31125122125315313
MOR.5T8.40510,BLR,2015,6.054140090942383,,-0.07829515495059627
MOR.5T8.40510,BLR,2016,5.802320003509521,,-0.0863807925233037
MOR.5T8.40510,BLR,2017,5.349130153656006,,-0.10093216892421202
MOR.5T8.40510,BLR,2018,5.837699890136719,,-0.08524478727627482
MOR.5T8.40510,BLR,2019,6.168389797210693,UIS_EST,-0.07462673545677757
MOR.5T8.40510,BLR,2020,6.383419990539551,,-0.06772237676096902
MOR.5T8.40510,BLR,2021,7.059579849243164,UIS_EST,-0.046011703818136004
MOR.5T8.40510,BLZ,2015,9.396089553833008,UIS_EST,0.02901078882341719
MOR.5T8.40510,BLZ,2016,8.394209861755371,,-0.00315835290065301
MOR.5T8.40510,BLZ,2017,8.692079544067383,,0.006405881309672052
MOR.5T8.40510,BLZ,2018,8.636059761047363,,0.004607154023778506
MOR.5T8.40510,BLZ,2019,8.860349655151367,UIS_EST,0.011808830480305867
MOR.5T8.40510,BLZ,2020,8.937729835510254,,0.014293414216539783
MOR.5T8.40510,BLZ,2021,9.63718032836914,UIS_EST,0.036751921172687045
MOR.5T8.40510,BMU,2015,175.2136535644531,UIS_EST,5.35321164764706
MOR.5T8.40510,BMU,2017,242.8580932617188,,7.525192559800368
MOR.5T8.40510,BMU,2018,224.7189025878906,,6.9427651484449795
MOR.5T8.40510,BRA,2015,0.607990026473999,,-0.25316442783816495
MOR.5T8.40510,BRA,2016,0.6242899894714355,,-0.25264105579668333
MOR.5T8.40510,BRA,2017,0.6795399785041809,,-0.2508670456620314
MOR.5T8.40510,BRA,2018,0.801010012626648,,-0.2469667901984138
MOR.5T8.40510,BRA,2019,0.9176700115203856,UIS_EST,-0.24322097913185742
MOR.5T8.40510,BRA,2020,0.9936500191688538,,-0.24078135324307345
MOR.5T8.40510,BRA,2021,0.9347699880599976,UIS_EST,-0.2426719196258799
MOR.5T8.40510,BRN,2015,31.80273056030273,UIS_EST,0.7484608543325121
MOR.5T8.40510,BRN,2016,32.00693130493164,,0.7550174925656973
MOR.5T8.40510,BRN,2017,28.80026054382324,,0.6520551838252038
MOR.5T8.40510,BRN,2018,25.10880088806152,,0.5335268916820349
MOR.5T8.40510,BRN,2019,18.5951099395752,UIS_EST,0.32438017583822054
MOR.5T8.40510,BRN,2020,22.87030029296875,,0.46165135267033625
MOR.5T8.40510,BTN,2018,38.38943862915039,,0.9599520613480322
MOR.5T8.40510,BTN,2020,44.04642868041992,,1.1415911504821425
MOR.5T8.40510,BTN,2021,38.04497146606445,UIS_EST,0.9488916385485439
MOR.5T8.40510,BWA,2015,5.330289840698242,,-0.10153710852170729
MOR.5T8.40510,BWA,2016,5.984920024871826,,-0.0805177273145051
MOR.5T8.40510,BWA,2017,5.197239875793457,,-0.1058091815173469
MOR.5T8.40510,BWA,2019,5.137070178985596,UIS_EST,-0.10774115750150173
MOR.5T8.40510,BWA,2020,4.663479804992676,,-0.12294756998855419
MOR.5T8.40510,BWA,2021,4.696680068969727,UIS_EST,-0.12188154978113838
MOR.5T8.40510,CAN,2015,3.182209968566895,NAT_EST,-0.1705093477911915
MOR.5T8.40510,CAN,2016,3.163589954376221,NAT_EST,-0.1711072138624778
MOR.5T8.40510,CAN,2017,3.039459943771362,NAT_EST,-0.1750928779446365
MOR.5T8.40510,CAN,2018,2.971250057220459,,-0.1772830146694247
MOR.5T8.40510,CAN,2019,2.839659929275513,UIS_EST,-0.18150821407093276
MOR.5T8.40510,CAN,2020,2.872970104217529,,-0.18043866475574385
MOR.5T8.40510,CAN,2021,2.681449890136719,UIS_EST,-0.1865881465333548
MOR.5T8.40510,CECC-SICA,2015,1.750929951667786,,-0.21646601312191177
MOR.5T8.40510,CECC-SICA,2016,1.772809982299805,UIS_EST,-0.215763471876796
MOR.5T8.40510,CECC-SICA,2017,1.767560005187988,UIS_EST,-0.2159320422741138
MOR.5T8.40510,CECC-SICA,2018,1.823639988899231,UIS_EST,-0.21413138201704301
MOR.5T8.40510,CECC-SICA,2019,1.839030027389526,,-0.2136372265478304
MOR.5T8.40510,CECC-SICA,2020,1.872990012168884,UIS_EST,-0.21254681262692446
MOR.5T8.40510,CECC-SICA,2021,1.850489974021912,UIS_EST,-0.21326926156133288
MOR.5T8.40510,CHE,2015,4.324940204620361,,-0.13381766593890027
MOR.5T8.40510,CHE,2016,4.547460079193115,,-0.12667282266264934
MOR.5T8.40510,CHE,2017,4.782400131225586,,-0.11912918255270756
MOR.5T8.40510,CHE,2018,5.376649856567383,,-0.10004854464261335
MOR.5T8.40510,CHE,2019,5.56974983215332,UIS_EST,-0.09384833863917921
MOR.5T8.40510,CHE,2020,5.829219818115234,,-0.085517072103332
MOR.5T8.40510,CHE,2021,5.635069847106934,UIS_EST,-0.0917509921862297
MOR.5T8.40510,CHL,2015,1.099050045013428,,-0.237397086253807
MOR.5T8.40510,CHL,2016,1.112679958343506,,-0.23695944626861795
MOR.5T8.40510,CHL,2017,1.269930005073547,,-0.23191033799805788
MOR.5T8.40510,CHL,2018,1.328529953956604,,-0.23002876471580772
MOR.5T8.40510,CHL,2019,1.376309990882874,UIS_EST,-0.22849460568292518
MOR.5T8.40510,CHL,2020,1.507069945335388,,-0.22429606214533448
MOR.5T8.40510,CHL,2021,1.436079978942871,UIS_EST,-0.22657546386185407
MOR.5T8.40510,CHN,2015,1.891860008239746,,-0.2119409199406705
MOR.5T8.40510,CHN,2016,1.97996997833252,,-0.20911181567033624
MOR.5T8.40510,CHN,2017,2.109210014343262,,-0.20496207487038864
MOR.5T8.40510,CHN,2018,2.226119995117188,,-0.2012082371888646
MOR.5T8.40510,CHN,2019,2.261929988861084,,-0.20005842172399918
MOR.5T8.40510,CHN,2020,2.214590072631836,,-0.20157844901512653
MOR.5T8.40510,CHN,2021,1.936710000038147,,-0.21050084110296677
MOR.5T8.40510,CIV,2015,6.009230136871338,,-0.07973715910414585
MOR.5T8.40510,CIV,2016,6.507100105285645,,-0.06375115828915268
MOR.5T8.40510,CIV,2017,6.381849765777588,,-0.06777279477353645
MOR.5T8.40510,CIV,2019,6.62667989730835,UIS_EST,-0.05991159620666751
MOR.5T8.40510,CIV,2020,7.112770080566406,,-0.04430383000523826
MOR.5T8.40510,CIV,2021,6.951950073242188,UIS_EST,-0.04946756538044125
MOR.5T8.40510,CMR,2015,6.963880062103271,,-0.04908450790809856
MOR.5T8.40510,CMR,2016,9.663200378417969,,0.03758739341981119
MOR.5T8.40510,CMR,2017,9.463640213012695,,0.031179758556898265
MOR.5T8.40510,CMR,2018,8.342049598693848,,-0.004833155681924382
MOR.5T8.40510,CMR,2019,7.682229995727539,UIS_EST,-0.026019162832270036
MOR.5T8.40510,CMR,2020,7.75862979888916,,-0.023566057818732337
MOR.5T8.40510,CMR,2021,7.61752986907959,UIS_EST,-0.02809660542359255
MOR.5T8.40510,COD,2016,2.196419954299927,,-0.20216186947607048
MOR.5T8.40510,COD,2020,2.89424991607666,,-0.179755395807415
MOR.5T8.40510,COG,2017,27.86182022094727,,0.6219230033000396
MOR.5T8.40510,COL,2015,1.575780034065247,,-0.22208986453527957
MOR.5T8.40510,COL,2016,1.564689993858337,,-0.22244595227511774
MOR.5T8.40510,COL,2017,1.859789967536926,,-0.21297065004960833
MOR.5T8.40510,COL,2018,2.068660020828247,,-0.20626408597871795
MOR.5T8.40510,COL,2019,2.213269948959351,UIS_EST,-0.20162083658506064
MOR.5T8.40510,COL,2020,2.413280010223389,,-0.19519875611180534
MOR.5T8.40510,COL,2021,2.368340015411377,UIS_EST,-0.1966417248371107
MOR.5T8.40510,CPV,2015,24.61590003967285,,0.5177004432839764
MOR.5T8.40510,CPV,2016,27.08419990539551,,0.5969545581500781
MOR.5T8.40510,CPV,2017,27.46299934387207,,0.6091173486704456
MOR.5T8.40510,CPV,2018,31.70383071899414,,0.7452853003845661
MOR.5T8.40510,CRI,2015,1.428460001945496,,-0.2268201320809038
MOR.5T8.40510,CRI,2016,1.491299986839294,,-0.22480241638512502
MOR.5T8.40510,CRI,2017,1.542950034141541,,-0.22314399601303894
MOR.5T8.40510,CRI,2018,1.738540053367615,,-0.21686383772851547
MOR.5T8.40510,CRI,2019,1.717010021209717,UIS_EST,-0.21755514094714337
MOR.5T8.40510,CUB,2015,0.8833799958229065,,-0.2443219899452469
MOR.5T8.40510,CUB,2016,0.938409984111786,,-0.24255504376763967
MOR.5T8.40510,CUB,2017,0.9110000133514404,,-0.2434351446829638
MOR.5T8.40510,CUB,2018,0.846340000629425,,-0.24551129926477908
MOR.5T8.40510,CUB,2019,0.8750100135803223,UIS_EST,-0.24459073992303243
MOR.5T8.40510,CUB,2020,1.056869983673096,,-0.23875143686288391
MOR.5T8.40510,CUB,2021,1.010949969291687,UIS_EST,-0.24022587282788838
MOR.5T8.40510,CYP,2015,68.68927764892578,,1.9328431413362421
MOR.5T8.40510,CYP,2016,63.0195198059082,,1.750794093895267
MOR.5T8.40510,CYP,2017,54.01625823974609,,1.4617102851396147
MOR.5T8.40510,CYP,2018,56.16819000244141,,1.5308062039431167
MOR.5T8.40510,CYP,2019,52.08831024169922,UIS_EST,1.3998062133471294
MOR.5T8.40510,CYP,2020,48.85335159301758,,1.2959356148472827
MOR.5T8.40510,CYP,2021,49.95481872558594,UIS_EST,1.3313023884950421
MOR.5T8.40510,CZE,2015,3.162580013275146,,-0.171139641846267
MOR.5T8.40510,CZE,2016,3.366859912872314,,-0.16458046204305876
MOR.5T8.40510,CZE,2017,3.738110065460205,,-0.15266006993598222
MOR.5T8.40510,CZE,2018,3.745320081710815,,-0.1524285650592662
MOR.5T8.40510,CZE,2019,3.720329999923706,UIS_EST,-0.15323096627476396
MOR.5T8.40510,CZE,2020,3.828069925308228,,-0.1497715679493542
MOR.5T8.40510,CZE,2021,3.744509935379028,UIS_EST,-0.15245457787534636
MOR.5T8.40510,DEU,2015,3.932990074157715,,-0.14640270922835302
MOR.5T8.40510,DEU,2016,3.880899906158447,,-0.1480752613421943
MOR.5T8.40510,DEU,2017,3.97763991355896,,-0.1449690570413554
MOR.5T8.40510,DEU,2018,3.917740106582642,,-0.14689236719037108
MOR.5T8.40510,DEU,2019,3.721479892730713,UIS_EST,-0.1531940446114459
MOR.5T8.40510,DEU,2020,3.7638099193573,,-0.15183487879892155
MOR.5T8.40510,DEU,2021,3.761640071868896,UIS_EST,-0.1519045499699474
MOR.5T8.40510,DNK,2015,1.6076500415802,,-0.22106655724938212
MOR.5T8.40510,DNK,2016,1.61135995388031,,-0.2209474364652103
MOR.5T8.40510,DNK,2017,1.7015700340271,,-0.21805090020828324
MOR.5T8.40510,DNK,2018,1.911209940910339,,-0.21131961707231842
MOR.5T8.40510,DNK,2019,1.892660021781921,UIS_EST,-0.21191523247617458
MOR.5T8.40510,DNK,2020,1.96045994758606,,-0.20973825909372004
MOR.5T8.40510,DNK,2021,1.878260016441345,UIS_EST,-0.2123775991817695
MOR.5T8.40510,DOM,2015,0.8729199767112732,,-0.2446578484718738
MOR.5T8.40510,DOM,2016,0.7773600220680237,,-0.24772616270997316
MOR.5T8.40510,DOM,2017,0.795520007610321,,-0.2471430676006135
MOR.5T8.40510,DOM,2020,0.7534800171852112,,-0.24849292070249582
MOR.5T8.40510,DOM,2021,0.7421500086784363,UIS_EST,-0.24885671353338307
MOR.5T8.40510,DZA,2015,1.581689953804016,,-0.22190010418066042
MOR.5T8.40510,DZA,2016,1.51531994342804,,-0.2240311647130735
MOR.5T8.40510,DZA,2017,1.657389998435974,,-0.21946946756476704
MOR.5T8.40510,DZA,2018,1.859140038490295,,-0.21299151848299108
MOR.5T8.40510,DZA,2019,1.977699995040894,UIS_EST,-0.20918470208054799
